Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2021,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,166,59,44,47,13,1,1,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,10,6,3,0,1,0,0,0
2021,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,23,6,12,4,0,0,0,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,18,7,1,7,2,0,0,1
2021,Maaline asustuspiirkond,Hiiu maakond,11,5,2,3,0,0,0,1
2021,Maaline asustuspiirkond,Ida-Viru maakond,56,27,13,9,5,0,0,2
2021,Maaline asustuspiirkond,Jõgeva maakond,41,19,8,8,5,0,0,1
2021,Maaline asustuspiirkond,Järva maakond,35,11,11,9,4,0,0,0
2021,Maaline asustuspiirkond,Lääne maakond,18,11,4,1,2,0,0,0
2021,Maaline asustuspiirkond,Lääne-Viru maakond,64,20,21,10,9,4,0,0
2021,Maaline asustuspiirkond,Põlva maakond,30,12,8,7,0,3,0,0
2021,Maaline asustuspiirkond,Pärnu maakond,56,20,13,15,7,0,0,1
2021,Maaline asustuspiirkond,Rapla maakond,46,16,11,12,5,1,0,1
2021,Maaline asustuspiirkond,Saare maakond,35,16,8,7,2,1,0,1
2021,Maaline asustuspiirkond,Tartu maakond,77,25,18,27,6,0,0,1
2021,Maaline asustuspiirkond,Valga maakond,31,11,10,5,1,3,0,1
2021,Maaline asustuspiirkond,Viljandi maakond,48,21,8,11,7,0,1,0
2021,Maaline asustuspiirkond,Võru maakond,34,11,8,8,5,1,0,1
